protein_target,gene,median_split_cutoff,high_n,low_n,high_events,low_events,high_km_median_survival_days,low_km_median_survival_days,logrank_chi_square,logrank_p_value
Sox2,SOX2,0.4899698,302,303,113,129,2133.0,1268.0,7.812309679283902,0.005189154016373552
BRAF_pS445,BRAF,0.088181,311,312,109,140,1841.0,1501.0,3.566995799034547,0.05893884983056261
CMET_pY1235,MET,0.020614,311,312,118,131,1725.0,1501.0,2.3197269752199716,0.12774244578692812
EGFR,EGFR,0.27485,311,312,137,112,1600.0,1653.0,1.7354771431038485,0.18771292449403548
BRAF,BRAF,-0.04648,311,312,117,132,1725.0,1501.0,1.5008766589062132,0.2205365228930165
Notch1-cleaved,NOTCH1,0.14146820105268,302,303,108,134,1679.0,1622.0,1.4834986401389119,0.22322792888013876
PI3KP110ALPHA,PIK3CA,-0.25101,311,312,121,128,1912.0,1454.0,1.3205049716896722,0.2505014441720354
HER2_pY1248,ERBB2,0.98562,311,312,129,120,1713.0,1531.0,1.3137041119031099,0.25172509930058584
EGFR_pY1173,EGFR,0.70794,311,312,129,120,1426.0,1798.0,1.106674432350475,0.2928059972518611
CMET,MET,-0.046891,311,312,126,123,1501.0,1841.0,0.9978365278755246,0.31783457167919016
EGFR_pY1068,EGFR,0.94275,311,312,129,120,1653.0,1600.0,0.7760069239954922,0.3783651532299905
RET_pY905,RET,-0.12218,189,190,80,83,1528.0,1600.0,0.3548651144255577,0.5513719431041015
P53,TP53,-0.54211,311,312,129,120,1679.0,1531.0,0.31905445401610694,0.5721764382603413
PTEN,PTEN,0.1788,311,312,121,128,1600.0,1679.0,0.3082034343465645,0.5787847278434105
P16INK4A,CDKN2A,-0.36545,311,312,124,125,1655.0,1528.0,0.27914187684727565,0.597264213327251
LKB1,STK11,-0.047199,311,312,130,119,1426.0,1679.0,0.2594288313631925,0.6105128270371462
NRF2,NFE2L2,0.022726,189,190,81,82,1679.0,1516.0,0.20181207982404076,0.6532621460666641
P63,TP63,0.34796,189,190,82,81,1713.0,1528.0,0.13919675078349003,0.709080859964979
HER2,ERBB2,0.13116,311,312,119,130,1622.0,1600.0,0.02698544362096045,0.869516654885519
NOTCH1,NOTCH1,-0.030339,311,312,118,131,1725.0,1516.0,0.026534159310237306,0.8706026102378269
