gene,median_split_cutoff,high_n,low_n,high_events,low_events,high_km_median_survival_days,low_km_median_survival_days,logrank_chi_square,logrank_p_value
FAT1,30.6593,465,466,192,169,1346.0,1778.0,7.348472526761499,0.0067119758880505795
SOX2,40.5438,465,466,174,187,1874.0,1315.0,5.067000220847819,0.024385548339208786
PTEN,23.2748,465,466,195,166,1357.0,1841.0,4.696052335705603,0.03023198061972565
CDKN2A,9.7521,465,466,199,162,1492.0,1632.0,2.6917022138269995,0.10087200171944818
ALK,0.2018,465,466,171,190,1655.0,1499.0,1.8980448768242064,0.1682973228641684
MET,59.4025,465,466,186,175,1426.0,1798.0,1.5488430278707783,0.21330632258606944
NTRK2,1.5623,465,466,179,182,1874.0,1379.0,1.3497953233634339,0.24531390183490037
ERBB2,57.7377,465,466,165,196,1600.0,1499.0,1.2534674650748907,0.2628912421779018
NOTCH2,22.9503,465,466,181,180,1501.0,1655.0,1.2173541871821123,0.26988051947935954
KMT2C,13.73005,465,466,164,197,1653.0,1421.0,1.1484178791108457,0.28388058795405824
ROS1,11.8798,465,466,181,180,1499.0,1679.0,0.9200728748934051,0.3374558384274683
NOTCH1,20.9433,465,466,181,180,1501.0,1622.0,0.8640334839496355,0.35261240597571425
CUL3,15.5613,465,466,184,177,1492.0,1632.0,0.6771422963397865,0.4105725043318551
NTRK1,0.3963,465,466,162,199,1713.0,1470.0,0.6433676948165298,0.4224939306292709
PIK3CA,6.6643,465,466,190,171,1679.0,1516.0,0.429092915929083,0.5124343765244775
KEAP1,73.3998,465,466,179,182,1713.0,1485.0,0.42744881779617216,0.513243436967464
NTRK3,0.1006,465,466,174,187,1653.0,1454.0,0.3769211136477715,0.5392556277046345
EGFR,45.6712,465,466,182,179,1655.0,1501.0,0.30592538644681666,0.5801913611921844
SMARCA4,34.8855,465,466,172,189,1695.0,1499.0,0.2831270202193749,0.5946589434134983
TP53,35.8761,465,466,183,178,1640.0,1501.0,0.24103085357143397,0.6234625674513329
STK11,18.2561,465,466,169,192,1695.0,1499.0,0.23272261085657361,0.629512361043612
DDR2,7.006,465,466,173,188,1713.0,1470.0,0.1800490146308365,0.6713311215301192
FGFR1,11.496,465,466,176,185,1713.0,1470.0,0.13311593105931904,0.7152229613930459
NF1,10.7923,465,466,174,187,1653.0,1528.0,0.0837649506406622,0.7722586510967737
BRAF,4.5041,465,466,175,186,1695.0,1499.0,0.054019413916106915,0.8162112191256758
KRAS,28.7643,465,466,184,177,1653.0,1528.0,0.04062787725243071,0.8402579188204209
NFE2L2,89.80665,465,466,188,173,1736.0,1492.0,0.03574779562672508,0.8500372684438648
TP63,15.8772,465,466,187,174,1736.0,1485.0,0.03126502622507014,0.8596504145121001
KMT2D,17.6227,465,466,169,192,1653.0,1516.0,0.029262723318595765,0.8641738303106561
RET,0.7832,465,466,177,184,1622.0,1600.0,0.002746075987634086,0.9582075717475736
