case_submitter_id,mirna_targets,total_reads
TCGA-05-4410,1881,2443096.0
TCGA-18-5595,1881,810720.0
TCGA-22-4613,1881,2081416.0
TCGA-37-3789,1881,6099964.0
TCGA-44-2661,3762,3475211.0
TCGA-55-7815,1881,6357518.0
TCGA-55-7907,1881,4153612.0
TCGA-56-5898,1881,851794.0
TCGA-56-A5DR,1881,2243242.0
TCGA-60-2698,1881,2551673.0
TCGA-70-6722,1881,4410420.0
TCGA-73-A9RS,1881,1594694.0
TCGA-86-7701,1881,5513881.0
TCGA-86-7954,1881,3810274.0
TCGA-86-8279,1881,3697683.0
TCGA-86-8672,1881,3401938.0
TCGA-L3-A524,1881,4232260.0
